12	537
12	537
-191	514	180.722891566
-193	495	260.526315789
-190	519	80.0
-196	471	260.0
-196	452	272.368421053
-196	433	272.368421053
-196	414	272.368421053
-202	396	248.684210526
-221	392	189.473684211
-240	388	189.473684211
-260	388	177.631578947
-279	384	189.473684211
-298	389	165.789473684
-318	389	177.631578947
-334	378	213.157894737
-353	374	189.473684211
-372	370	189.473684211
-366	360	225.0
-372	342	248.684210526
-355	333	331.578947368
-364	350	118.421052632
-355	314	272.368421053
-343	318	307.894736842
-338	299	284.210526316
-326	284	307.894736842
-318	267	296.052631579
-305	282	47.3684210526
-306	252	307.894736842
-306	233	272.368421053
-308	214	260.526315789
-314	196	248.684210526
-324	179	236.842105263
-334	162	236.842105263
-350	151	213.157894737
-366	140	213.157894737
-384	132	201.315789474
-403	128	189.473684211
-422	124	189.473684211
-442	124	177.631578947
-462	124	177.631578947
-481	120	189.473684211
-500	125	165.789473684
-519	121	189.473684211
-538	126	165.789473684
-558	126	177.631578947
-575	134	153.947368421
-592	142	153.947368421
-607	154	142.105263158
-616	171	118.421052632
-625	188	118.421052632
-631	207	106.578947368
-632	226	94.7368421053
-626	245	71.0526315789
-627	264	94.7368421053
-610	272	23.6842105263
-597	287	47.3684210526
-628	264	201.315789474
-611	272	23.6842105263
-598	287	47.3684210526
-589	304	59.2105263158
-576	319	47.3684210526
-577	338	94.7368421053
-583	357	106.578947368
-590	353	130.263157895
-605	365	142.105263158
-624	370	165.789473684
-644	370	177.631578947
-664	370	177.631578947
-684	370	177.631578947
-704	370	177.631578947
-724	370	177.631578947
-743	375	165.789473684
-763	375	177.631578947
-782	380	165.789473684
-788	399	106.578947368
-782	418	71.0526315789
-776	437	71.0526315789
-775	456	82.8947368421
-769	475	71.0526315789
-770	494	94.7368421053
-764	513	71.0526315789
-763	532	82.8947368421
-762	551	82.8947368421
-756	570	71.0526315789
-757	589	94.7368421053
-756	608	82.8947368421
-757	627	94.7368421053
-763	646	106.578947368
