37	521
37	521
-10	536	166.853932584
94	570	7.98816568047
93	589	94.7368421053
92	608	94.7368421053
91	627	94.7368421053
90	646	94.7368421053
89	665	94.7368421053
88	684	94.7368421053
87	703	94.7368421053
93	722	71.0526315789
94	741	82.8947368421
100	760	71.0526315789
109	728	319.736842105
110	747	82.8947368421
90	733	165.789473684
96	752	71.0526315789
97	771	82.8947368421
103	790	71.0526315789
109	809	71.0526315789
110	828	82.8947368421
111	847	82.8947368421
117	866	71.0526315789
123	885	71.0526315789
143	885	0.0
163	885	0.0
183	885	0.0
203	885	0.0
166	893	153.947368421
185	887	343.421052632
204	881	343.421052632
223	886	11.8421052632
242	891	11.8421052632
262	891	0.0
251	908	59.2105263158
249	889	260.526315789
259	891	296.052631579
250	908	118.421052632
239	891	177.631578947
276	882	331.578947368
296	882	0.0
259	890	153.947368421
250	907	118.421052632
239	890	177.631578947
276	881	331.578947368
296	881	0.0
316	881	0.0
315	875	343.421052632
327	860	307.894736842
332	841	284.210526316
312	841	177.631578947
332	822	272.368421053
315	830	153.947368421
326	804	248.684210526
320	786	248.684210526
310	769	236.842105263
300	752	236.842105263
290	735	236.842105263
290	716	272.368421053
298	699	296.052631579
313	686	319.736842105
330	677	331.578947368
349	671	343.421052632
368	665	343.421052632
398	665	0.0
418	665	0.0
413	677	35.5263157895
428	689	35.5263157895
432	671	343.421052632
451	676	11.8421052632
413	676	165.789473684
432	670	343.421052632
449	678	23.6842105263
417	682	142.105263158
413	675	165.789473684
426	690	47.3684210526
432	669	343.421052632
449	677	23.6842105263
419	684	130.263157895
406	670	225.0
434	671	319.736842105
451	679	23.6842105263
421	686	130.263157895
408	672	225.0
433	671	307.894736842
452	676	11.8421052632
418	683	142.105263158
414	676	165.789473684
433	670	343.421052632
450	678	23.6842105263
420	685	130.263157895
407	671	225.0
432	670	307.894736842
449	678	23.6842105263
417	682	142.105263158
413	675	165.789473684
426	690	47.3684210526
432	669	343.421052632
449	677	23.6842105263
419	684	130.263157895
406	670	225.0
434	671	319.736842105
451	679	23.6842105263
421	686	130.263157895
408	672	225.0
433	671	307.894736842
452	676	11.8421052632
418	683	142.105263158
