58	486
114	467	346.153846154
127	482	47.3684210526
128	501	82.8947368421
127	520	94.7368421053
128	539	82.8947368421
118	537	118.421052632
131	552	47.3684210526
132	571	82.8947368421
133	590	82.8947368421
139	609	71.0526315789
148	626	59.2105263158
154	596	319.736842105
142	617	120.0
155	632	47.3684210526
168	647	47.3684210526
154	651	94.7368421053
163	668	59.2105263158
173	645	343.421052632
211	633	346.621621622
228	624	331.578947368
243	611	319.736842105
258	598	319.736842105
273	585	319.736842105
288	572	319.736842105
307	566	343.421052632
327	566	0.0
346	571	11.8421052632
363	579	23.6842105263
378	591	35.5263157895
375	564	307.894736842
371	588	100.0
386	600	35.5263157895
395	617	59.2105263158
404	634	59.2105263158
395	598	272.368421053
408	613	47.3684210526
394	617	94.7368421053
403	634	59.2105263158
409	653	71.0526315789
415	672	71.0526315789
416	691	82.8947368421
417	710	82.8947368421
416	729	94.7368421053
415	748	94.7368421053
409	767	106.578947368
400	784	118.421052632
394	803	106.578947368
408	767	296.052631579
402	786	106.578947368
393	803	118.421052632
380	818	130.263157895
365	830	142.105263158
348	838	153.947368421
329	843	165.789473684
310	839	189.473684211
292	831	201.315789474
274	823	201.315789474
261	809	225.0
270	826	59.2105263158
243	801	201.315789474
227	790	213.157894737
208	786	189.473684211
189	782	189.473684211
170	787	165.789473684
157	802	130.263157895
151	821	106.578947368
145	840	106.578947368
139	859	106.578947368
138	878	94.7368421053
151	844	307.894736842
142	861	118.421052632
141	880	94.7368421053
150	844	296.052631579
141	861	118.421052632
140	880	94.7368421053
149	844	296.052631579
140	861	118.421052632
139	880	94.7368421053
148	897	59.2105263158
133	899	106.578947368
132	918	94.7368421053
131	937	94.7368421053
130	956	94.7368421053
124	975	106.578947368
123	994	94.7368421053
122	1013	94.7368421053
121	1032	94.7368421053
120	1051	94.7368421053
135	1063	35.5263157895
155	1063	0.0
175	1063	0.0
194	1068	11.8421052632
213	1062	343.421052632
233	1062	0.0
253	1062	0.0
273	1062	0.0
293	1062	0.0
332	1055	352.702702703
352	1055	0.0
365	1070	47.3684210526
382	1078	23.6842105263
388	1097	71.0526315789
389	1116	82.8947368421
404	1128	35.5263157895
380	1133	118.421052632
371	1150	118.421052632
358	1165	130.263157895
349	1182	118.421052632
362	1197	47.3684210526
348	1201	94.7368421053
347	1220	94.7368421053
353	1239	71.0526315789
359	1258	71.0526315789
372	1273	47.3684210526
389	1281	23.6842105263
406	1289	23.6842105263
425	1294	11.8421052632
445	1294	0.0
465	1294	0.0
485	1294	0.0
504	1288	343.421052632
523	1282	343.421052632
542	1276	343.421052632
561	1270	343.421052632
576	1257	319.736842105
593	1248	331.578947368
601	1231	296.052631579
609	1214	296.052631579
614	1195	284.210526316
614	1165	270.0
622	1167	286.363636364
612	1150	236.842105263
627	1148	284.210526316
608	1144	189.473684211
627	1149	11.8421052632
595	1130	225.0
579	1119	213.157894737
566	1105	225.0
550	1094	213.157894737
540	1077	236.842105263
545	1058	284.210526316
559	1071	343.421052632
544	1083	142.105263158
